	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
cntocfip	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)	Occurrence (FIPS)																
cntocpop	Population Size of County of Occurrence	Population Size of County of Occurrence	County of Occurrence	County of Occurrence	County of Occurrence	County of Occurrence	County of Occurrence	Population Size of County of Occurrence	County of Occurrence	Population Size of County of Occurrence	County of Occurrence	County of Occurrence	Population Size of County of Occurrence																
cntrspop	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence	County of Residence																
cntynat	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurence	Occurrence	Occurrence																
cntyres	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence																
cntyrfip	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)																
combgest														Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Gestation - Detail in Weeks U;R	Combined Gestation - Detail in Weeks 17-47 17th through 47th week of	Combined Gestation -- Detail in Weeks 17-47 17th through 47th week of	Combined Gestation -- Detail in Weeks 17-47 17th through 47th week of	Combined Gestation -- Detail in Weeks 17-47 17th through 47th week of	Combined Gestation -- Detail in Weeks 17-47 17th through 47th week of
compgst_imp																									Combined Gestation Imputation Flag Blank Combined Gestation is not i	Combined Gestation Imputation Flag Blank Combined Gestation is not i	Combined Gestation Imputation Flag Blank Combined Gestation is not i	Combined Gestation Imputation Flag Blank Combined Gestation is not i	Combined Gestation Imputation Flag Blank Combined Gestation is not i
congan	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies	Congenital anomalies																
cord	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse	Cord prolapse																
crace	Race of Child	Race of Child	Race of Child (Codes 18-68 and 78 are new)																										
crace3	Race of Child Recode	Race of Child Recode	Race of Child Recode																										
csex	Sex	Sex	Sex	Sex	Sex	Sex	Sex	Sex	Sex	Sex	Sex	Sex	Sex																
cseximp	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag	Sex Imputation Flag																
datayear	Data year	Data year	Data year	Data year	Data year	Data year	Data year	Data year	Data year	Data year	Data year	Year Birth of Child (Data Year)	Year Birth of Child (Data Year)																
dbirwt	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birthweight	Birth Weight - Detail in Grams	Birth Weight - Detail in Grams																
dbwt														Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams U;R	Birth Weight - Detail in Grams (Edited) 0227-8165 Number of grams	Birth Weight -- Detail in Grams (Edited) 0227-8165 Number of grams	Birth Weight -- Detail in Grams (Edited) 0227-8165 Number of grams	Birth Weight -- Detail in Grams (Edited) 0227-8165 Number of grams	Birth Weight -- Detail in Grams (Edited) 0227-8165 Number of grams
delmeth5	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode	Method of Delivery Recode																
delmetrf	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery	Method of delivery																
dfage	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father	Age of Father																
dfagerpt	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father	Reported Age of Father																
dfeduc	Education of Father	Education of Father	Education of Father	Education of Father	Education of Father																								
dfpc_imp															Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R	Day of Date First Prenatal Care Imputed R					
dgestat	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks	Gestation - Detail in Weeks																
diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes	Diabetes																
disllb	Interval since last live birth	Interval since last live birth	Interval since last live birth	Interval since last live birth	Interval since last live birth (dropped 1994 but still in PDF doc)																								
distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress	Fetal distress																
divocc	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of occurrence	Division of Occurrence	Division of Occurrence																
divres	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of residence	Division of Residence	Division of Residence																
dlivord	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order	Detail Live Birth Order																
dllb_mm														Date of Last Live Birth - Month U;R	Date of Last Live Birth - Month U;R	Date of Last Live Birth - Month R	Date of Last Live Birth - Month R	Date of Last Live Birth - Month R	Date of Last Live Birth - Month R										
dllb_yy														Date of Last Live Birth - Year U;R	Date of Last Live Birth - Year U;R	Date of Last Live Birth - Year R	Date of Last Live Birth - Year R	Date of Last Live Birth - Year R	Date of Last Live Birth - Year R										
dlmp_dd														Last Normal Menses - Day U;R	Last Normal Menses - Day U;R	Last Normal Menses - Day U;R	Last Normal Menses - Day U;R	Last Normal Menses - Day U;R	Last Normal Menses - Day U;R										
dlmp_mm														Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses - Month U;R	Last Normal Menses Month 01 January	Last Normal Menses Month 01 January	Last Normal Menses Month 01 January	Last Normal Menses Month 01 January	Last Normal Menses Month 01 January
dlmp_yy														Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses - Year U;R	Last Normal Menses Year nnnn Year of last normal menses	Last Normal Menses Year nnnn Year of last normal menses	Last Normal Menses Year nnnn Year of last normal menses	Last Normal Menses Year nnnn Year of last normal menses	Last Normal Menses Year nnnn Year of last normal menses
dmage	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother	Age of Mother																
dmagerpt	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother	Reported Age of Mother																
dmar	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital Status of Mother	Marital status is not reported by all areas.  See	Marital status is not reported by all areas.  See												Marital Status	Marital Status	Marital Status	Marital Status	Marital Status
dmarimp	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag																
dmeduc	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Education of Mother	Mother's Education RFP 647=f_med U	Mother's Education RFP 647=f_med U	Mother's Education RFP 647=f_med U	Mother's Education RFP 647=f_med  U	Mother's Education RFP 647=f_med  U	Mother's Education RFP 647=f_med  U										
dmeth_rec														Delivery Method Recode U;R	Delivery Method Recode U;R		Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode U;R	Delivery Method Recode Combined 1 Vaginal	Delivery Method Recode Combined 1 Vaginal	Delivery Method Recode Combined 1 Vaginal	Delivery Method Recode Combined 1 Vaginal	Delivery Method Recode Combined 1 Vaginal
dob_mm														Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month U;R	Birth Month 01 January	Birth Month 01 January	Birth Month 01 January	Birth Month 01 January	Birth Month 01 January
dob_tt																				Birth Time R	Birth Time R	Birth Time R	Birth Time R	Birth Time R	Time of Birth 0000-2359 Time of Birth	Time of Birth 0000-2359 Time of Birth	Time of Birth 0000-2359 Time of Birth	Time of Birth 0000-2359 Time of Birth	Time of Birth 0000-2359 Time of Birth
dob_wk														Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Weekday U;R	Birth Day of Week 1 Sunday	Birth Day of Week 1 Sunday	Birth Day of Week 1 Sunday	Birth Day of Week 1 Sunday	Birth Day of Week 1 Sunday
dob_yy														Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year U;R	Birth Year 2014 Year of birth	Birth Year 2015 Year of birth	Birth Year	Birth Year 2015 Year of birth	Birth Year 2015 Year of birth
downs	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome	Down's syndrome																
dplural	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality U;R	Plurality Recode 1 Single	Plurality Recode 1 Single	Plurality Recode 1 Single	Plurality Recode 1 Single	Plurality Recode 1 Single
drink	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week	Average Number of Drinks Per Week																
drink5	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode	Average Number of Drinks Per Week Recode																
drinks														Drinks Per Week U	Drinks Per Week U	Drinks Per Week U	Drinks Per Week RFP 649=f_alcol U												
drinks_rec														Drinks Recode U	Drinks Recode U	Drinks Recode U	Drinks Recode RFP 649=f_alcol U												
dtotord	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order	Detail Total Birth Order																
dwgt_r																				Delivery Weight Recode RFP 578=f_dwgt R	Delivery Weight Recode RFP 578=f_dwgt R	Delivery Weight Recode RFP 578=f_dwgt R	Delivery Weight Recode RFP 578=f_dwgt R	Delivery Weight Recode RFP 578=f_dwgt R	Delivery Weight Recode 100-400 Weight in pounds	Delivery Weight Recode 100-400 Weight in pounds	Delivery Weight Recode 100-400 Weight in pounds	Delivery Weight Recode 100-400 Weight in pounds	Delivery Weight Recode 100-400 Weight in pounds
dysfunc	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor	Dysfunctional labor																
eclamp	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia	Eclampsia																
educf	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father	Education of father																
educm	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother	Education of mother																
educsmsa	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)	Education of Mother (Based on MSA)																
estgest														Obstetric/Clinical Gestation Est. U;R	Obstetric/Clinical Gestation Est. U;R	Obstetric/Clinical Gestation Est. U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R	Obstetric/Clinical Gestation Est. RFP 573=f_clinest U;R					
excebld	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding	Other excessive bleeding																
